category,roman_urdu,urdu_script,translated_by_llm,translated_by_google
Food,burger ka size bohot bara hai,برگر کا سائز بہت بڑا ہے,The burger is very large,The burger size is huge
Food,ice cream bohot thandi aur creamy hai,آئس کریم بہت ٹھنڈی اور کریمی ہے,The ice cream is very cold and creamy,The ice cream is very cold and creamy
Food,mujhe street food bohot pasand hai,مجھے اسٹریٹ فوڈ بہت پسند ہے,I really like street food,I love street food
Food,meri roti thodi sakhti hai,میری روٹی تھوڑی سخت ہے,My bread is a bit hard,My bread is a little hard
Food,mein ne sabzi mein namak zyada daala,میں نے سبزی میں نمک زیادہ ڈالا,I added too much salt to the vegetables,I added more salt to the vegetable
Food,mujhe biryani ka masala bohot acha laga,مجھے بریانی کا مصالحہ بہت اچھا لگا,I really liked the biryani spices,I liked the spice of biryani very much
Food,meri noodles bohot spicy hain,میری نوڈلز بہت مصالحہ دار ہیں,My noodles are very spicy,My noodles are very spicy
Food,mein ne fruit salad khaya,میں نے فروٹ سالاد کھایا,I ate fruit salad,I ate fruit salad
Food,mujhe chocolate cake bohot pasand hai,مجھے چاکلیٹ کیک بہت پسند ہے,I really like chocolate cake,I love chocolate cake
Food,meri soup thodi thandi hai,میری سوپ تھوڑی ٹھنڈی ہے,My soup is slightly cold,My soup is a little cold
Food,mein ne breakfast mein anda aur toast khaya,میں نے ناشتہ میں انڈا اور ٹوسٹ کھایا,I had eggs and toast for breakfast,I had eggs and toast for breakfast
Food,mujhe spicy curry aur naan pasand hai,مجھے مصالحہ دار کری اور نان پسند ہے,I like spicy curry and naan,I love spicy curry and naan
Food,meri sandwich bohot fresh hai,میری سینڈوچ بہت تازہ ہے,My sandwich is very fresh,My sandwich is so fresh
Food,mein ne sweet lassi pi,میں نے میٹھی لسی پی,I drank sweet lassi,I drank sweet lassi
Food,mujhe pizza ka crust bohot crisp laga,مجھے پیزا کا کرسٹ بہت کرسپ لگا,I found the pizza crust very crisp,I found the pizza crust very crispy
Food,meri tea mein doodh zyada hai,میری چائے میں دودھ زیادہ ہے,My tea has too much milk,My tea has too much milk
Food,mein ne biryani khayi aur bohot enjoy kiya,میں نے بریانی کھائی اور بہت انجوائے کیا,I ate biryani and enjoyed it a lot,I ate biryani and enjoyed a lot
Food,mujhe roti aur sabzi ka combination acha laga,مجھے روٹی اور سبزی کا کومبینیشن اچھا لگا,I liked the combination of bread and vegetables,I liked the combination of roti and vegetable
Food,meri chocolate bohot meethi hai,میری چاکلیٹ بہت میٹھی ہے,My chocolate is very sweet,My chocolate is very sweet
Food,mein ne dinner mein chicken aur rice khaya,میں نے رات کے کھانے میں چکن اور چاول کھایا,I ate chicken and rice for dinner,I had chicken and rice for dinner
Food,mujhe street food ka taste unique lagta hai,مجھے اسٹریٹ فوڈ کا ذائقہ منفرد لگتا ہے,I find the taste of street food unique,I find the taste of street food unique
Food,meri sandwich mein cheese aur lettuce hai,میری سینڈوچ میں چیز اور لیٹش ہے,My sandwich has cheese and lettuce,My sandwich has cheese and lettuce
Food,mein ne fruit juice pi aur refresh feel kiya,میں نے فروٹ جوس پی اور تازہ محسوس کیا,I drank fruit juice and felt refreshed,I drank fruit juice and felt refreshed
Food,mujhe noodles ka taste bohot spicy laga,مجھے نوڈلز کا ذائقہ بہت مصالحہ دار لگا,I found the noodles very spicy,I found the taste of the noodles very spicy
Food,meri burger thodi oily hai,میرا برگر تھوڑا تیل والا ہے,My burger is a bit oily,My burger is a little greasy
Food,mein ne lunch mein dal aur chawal khaya,میں نے دوپہر کے کھانے میں دال اور چاول کھایا,I ate lentils and rice for lunch,I had dal and rice for lunch
Food,mujhe masala chai bohot pasand hai,مجھے مصالحہ دار چائے بہت پسند ہے,I really like masala tea,I love spiced tea
Food,meri ice cream mein chocolate syrup hai,میری آئس کریم میں چاکلیٹ سیرپ ہے,My ice cream has chocolate syrup,My ice cream has chocolate syrup
Food,mein ne paratha aur achaar khaya,میں نے پراٹھا اور اچار کھایا,I ate flatbread and pickle,I ate paratha and pickle
Food,mujhe biryani thodi zyada spicy lagi,مجھے بریانی تھوڑی زیادہ مصالحہ دار لگی,I found the biryani a bit too spicy,I found the biryani a bit too spicy
Food,meri salad bohot fresh aur crunchy hai,میرا سلاد بہت تازہ اور کرنچی ہے,My salad is very fresh and crunchy,My salad is so fresh and crunchy
Food,mein ne breakfast mein oatmeal aur fruit khaya,میں نے ناشتہ میں اوٹ میل اور پھل کھایا,I had oatmeal and fruit for breakfast,I ate oatmeal and fruit for breakfast
Food,mujhe pizza ke toppings bohot tasty lage,مجھے پیزا کے ٹاپنگز بہت مزیدار لگے,I found the pizza toppings very tasty,I found the pizza toppings very tasty
Food,meri coffee thodi meethi hai,میری کافی تھوڑی میٹھی ہے,My coffee is slightly sweet,My coffee is a little sweet
Food,mein ne dinner mein fish aur vegetables khaya,میں نے رات کے کھانے میں مچھلی اور سبزیاں کھائیں,I ate fish and vegetables for dinner,I ate fish and vegetables for dinner
Food,mujhe burger aur fries ka combination pasand hai,مجھے برگر اور فرائز کا کومبینیشن پسند ہے,I like the combination of burger and fries,I love the combination of burgers and fries
Food,meri roti bohot soft hai,میری روٹی بہت نرم ہے,My bread is very soft,My bread is very soft
Food,mein ne fruit salad aur yogurt khaya,میں نے فروٹ سالاد اور دہی کھایا,I ate fruit salad and yogurt,I ate fruit salad and yogurt
Food,mujhe chocolate ka flavor bohot acha laga,مجھے چاکلیٹ کا ذائقہ بہت اچھا لگا,I really liked the chocolate flavor,I really like the chocolate flavor
Food,meri sandwich bohot fresh aur tasty hai,میری سینڈوچ بہت تازہ اور مزیدار ہے,My sandwich is very fresh and tasty,My sandwich is so fresh and delicious
Food,mein ne noodles aur chicken khaya,میں نے نوڈلز اور چکن کھایا,I ate noodles and chicken,I ate noodles and chicken
Food,mujhe ice cream ka texture creamy aur smooth laga,مجھے آئس کریم کا ٹیکسچر کریمی اور ہموار لگا,I found the ice cream texture creamy and smooth,I found the texture of the ice cream creamy and smooth
Food,meri biryani mein vegetables aur chicken hai,میری بریانی میں سبزیاں اور چکن ہیں,My biryani has vegetables and chicken,My biryani has vegetables and chicken
Food,mein ne lunch mein sandwich aur juice liya,میں نے دوپہر کے کھانے میں سینڈوچ اور جوس لیا,I had a sandwich and juice for lunch,I had a sandwich and juice for lunch
Food,mujhe masala fries bohot pasand hain,مجھے مصالحہ دار فرائز بہت پسند ہیں,I really like spicy fries,I love spicy fries
Food,meri pizza bohot cheesy hai,میرا پیزا بہت چیز والا ہے,My pizza has a lot of cheese,My pizza has a lot of toppings
Food,mein ne dinner mein pasta aur salad khaya,میں نے رات کے کھانے میں پاسٹا اور سلاد کھایا,I ate pasta and salad for dinner,I had pasta and salad for dinner
Food,mujhe chocolate milkshake bohot tasty laga,مجھے چاکلیٹ ملک شیک بہت مزیدار لگا,I found the chocolate milkshake very tasty,I found the chocolate milkshake very delicious
Food,meri roti aur sabzi perfectly cooked hain,میری روٹی اور سبزی بہترین طریقے سے پکی ہوئی ہیں,My bread and vegetables are perfectly cooked,My bread and vegetables are perfectly cooked
Food,mein ne breakfast mein paratha aur chai li,میں نے ناشتہ میں پراٹھا اور چائے لی,I had flatbread and tea for breakfast,I had paratha and tea for breakfast
Food,mujhe sweet lassi aur pakora bohot pasand hain,مجھے میٹھی لسی اور پکوڑے بہت پسند ہیں,I really like sweet lassi and pakoras,I love sweet lassi and pakodas
Food,meri noodles thodi kam spicy hain,میری نوڈلز تھوڑی کم مصالحہ دار ہیں,My noodles are a bit less spicy,My noodles are slightly less spicy
Food,mein ne lunch mein chicken sandwich khaya,میں نے دوپہر کے کھانے میں چکن سینڈوچ کھایا,I ate a chicken sandwich for lunch,I had a chicken sandwich for lunch
Food,mujhe pizza ke crust bohot crispy aur tasty lage,مجھے پیزا کے کرسٹ بہت کرسپی اور مزیدار لگے,I found the pizza crust very crispy and tasty,I found the pizza crust very crispy and delicious
Food,meri salad mein cucumber aur tomato hai,میرا سلاد میں کھیرہ اور ٹماٹر ہیں,My salad has cucumber and tomato,My salad has cucumber and tomatoes
Food,mein ne dinner mein soup aur bread khaya,میں نے رات کے کھانے میں سوپ اور روٹی کھایا,I had soup and bread for dinner,I had soup and bread for dinner
Food,mujhe chocolate aur vanilla ka combination pasand hai,مجھے چاکلیٹ اور ونیلا کا کومبینیشن پسند ہے,I like the combination of chocolate and vanilla,I love the combination of chocolate and vanilla
Food,mein ne breakfast mein oatmeal aur honey khaya,میں نے ناشتہ میں اوٹ میل اور شہد کھایا,I had oatmeal and honey for breakfast,I had oatmeal and honey for breakfast
Food,mujhe burger bohot juicy aur tasty laga,مجھے برگر بہت جوسی اور مزیدار لگا,I found the burger very juicy and tasty,I found the burger very juicy and delicious
Food,meri ice cream mein strawberry aur chocolate hai,میری آئس کریم میں اسٹرابیری اور چاکلیٹ ہے,My ice cream has strawberry and chocolate,My ice cream has strawberry and chocolate
Food,mein ne lunch mein rice aur dal khaya,میں نے دوپہر کے کھانے میں چاول اور دال کھایا,I ate rice and lentils for lunch,I had rice and dal for lunch
Food,mujhe sweet aur salty combination bohot acha laga,مجھے میٹھی اور نمکین کومبینیشن بہت اچھا لگا,I really liked the sweet and salty combination,I loved the sweet and salty combination
Food,meri sandwich aur juice bohot fresh hain,میری سینڈوچ اور جوس بہت تازہ ہیں,My sandwich and juice are very fresh,My sandwiches and juices are so fresh
Food,mein ne dinner mein chicken aur mashed potatoes khaya,میں نے رات کے کھانے میں چکن اور میشڈ آلو کھایا,I ate chicken and mashed potatoes for dinner,I had chicken and mashed potatoes for dinner
Food,mujhe spicy snacks aur chai bohot pasand hain,مجھے مصالحہ دار سنیکس اور چائے بہت پسند ہیں,I really like spicy snacks and tea,I love spicy snacks and tea
Food,meri pizza aur fries bohot tasty hain,میرا پیزا اور فرائز بہت مزیدار ہیں,My pizza and fries are very tasty,My pizza and fries are delicious
